latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-27.45167,153.02014,27.0,0,GMT,GMT

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),precipitation_sum (mm),wind_speed_10m_max (km/h)
2010-01-01,NaN,27.8,22.1,24.5,30.2,25.9,27.4,0.80,14.3
2010-01-02,NaN,28.8,23.1,25.8,33.3,27.2,29.4,2.50,14.8
2010-01-03,NaN,31.5,22.4,25.2,38.1,24.7,28.6,29.10,19.9
2010-01-04,NaN,26.2,21.6,23.9,27.3,23.0,25.0,0.20,21.3
2010-01-05,NaN,26.8,21.6,24.1,28.2,23.9,25.8,0.00,17.9
2010-01-06,NaN,27.2,21.8,24.2,31.6,25.4,27.9,2.50,11.4
2010-01-07,NaN,27.3,21.7,24.1,31.2,24.7,27.1,6.10,14.7
2010-01-08,NaN,27.3,20.9,23.9,30.7,23.6,26.6,1.70,17.0
2010-01-09,NaN,28.1,21.4,24.3,32.1,24.8,27.4,0.00,14.1
2010-01-10,NaN,29.6,21.8,25.0,33.8,25.4,28.2,0.00,14.2
2010-01-11,NaN,29.7,21.0,24.8,33.5,24.1,27.8,0.00,15.3
2010-01-12,NaN,28.5,22.0,24.7,32.1,25.3,27.6,0.00,16.1
2010-01-13,NaN,28.9,20.9,24.8,33.1,23.9,27.4,0.00,16.8
2010-01-14,NaN,29.6,22.0,25.4,33.0,24.9,28.1,0.00,14.5
2010-01-15,NaN,28.4,21.1,24.7,30.2,23.8,26.6,0.00,16.0
2010-01-16,NaN,28.0,21.5,24.8,29.9,24.8,27.2,0.00,14.2
2010-01-17,NaN,32.2,22.9,26.7,36.9,26.1,29.8,0.00,17.1
2010-01-18,NaN,36.9,19.4,28.1,38.8,19.0,28.2,0.00,14.4
2010-01-19,NaN,31.3,19.9,24.5,34.8,21.5,26.3,0.00,19.8
2010-01-20,NaN,32.0,21.1,25.7,35.9,24.4,28.3,0.00,16.5
2010-01-21,NaN,33.2,22.0,26.6,36.3,25.8,29.3,0.00,14.3
2010-01-22,NaN,31.2,22.4,26.1,34.6,26.3,29.1,0.00,14.3
2010-01-23,NaN,31.4,22.3,26.0,34.7,25.8,28.8,0.00,14.4
2010-01-24,NaN,31.9,22.2,26.2,35.6,26.3,29.1,0.00,18.0
2010-01-25,NaN,31.9,21.8,26.3,35.8,25.4,29.2,0.00,17.4
